127.0.0.1 - - [28/May/2024:13:24:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/ HTTP/1.1" 200 21552
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/all/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/mac1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/del8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/banphim2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/tn1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/ac1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/del7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/hp6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/le2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/del4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:10 +0700] "GET /CPT/img/laptop1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:24:11 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [28/May/2024:13:29:33 +0700] "GET /CPT/All_new_SP.jsp HTTP/1.1" 200 16948
0:0:0:0:0:0:0:1 - - [28/May/2024:13:29:33 +0700] "GET /CPT/img/mac4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:29:33 +0700] "GET /CPT/img/usb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:29:33 +0700] "GET /CPT/img/ac2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:13:29:42 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21552
0:0:0:0:0:0:0:1 - - [28/May/2024:13:30:42 +0700] "POST /CPT/search.jsp HTTP/1.1" 200 13087
0:0:0:0:0:0:0:1 - - [28/May/2024:13:30:54 +0700] "GET /CPT/ChitietSanPham.jsp?id=17 HTTP/1.1" 200 12841
0:0:0:0:0:0:0:1 - - [28/May/2024:13:30:56 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21552
0:0:0:0:0:0:0:1 - - [28/May/2024:13:30:58 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21552
0:0:0:0:0:0:0:1 - - [28/May/2024:13:31:10 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [28/May/2024:13:31:13 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21552
