127.0.0.1 - - [01/Jun/2024:21:13:32 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/ HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/laptop1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/banphim2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/mac1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/del8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/tn1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/ac1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/le2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/hp6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:33 +0700] "GET /CPT/img/del7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:34 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:38 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:43 +0700] "POST /CPT/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:43 +0700] "GET /CPT/admin/homeAdmin.jsp HTTP/1.1" 200 7523
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:49 +0700] "GET /CPT/admin/quanlyGiaoDien.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:49 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:49 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:49 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:50 +0700] "GET /CPT/admin/quanlyAnhPage.jsp HTTP/1.1" 200 7868
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:50 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:50 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:50 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:13:54 +0700] "GET /CPT/admin/EditAnhPage.jsp HTTP/1.1" 500 2384
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:10 +0700] "GET /CPT/admin/quanlyGiaoDien.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:10 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:10 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:10 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:11 +0700] "GET /CPT/admin/quanlyTaiKhoan.jsp HTTP/1.1" 200 10515
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:11 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:11 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:14:12 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/admin/quanlySanPham.jsp HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/img/mac4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/img/ac2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/img/usb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/img/del4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:43 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:45 +0700] "GET /CPT/admin/SanPhamAdd.jsp HTTP/1.1" 200 9674
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:45 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:45 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:26:45 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:43:04 +0700] "GET /CPT/admin/quanlySanPham.jsp HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:43:04 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:43:04 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:43:04 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:48:25 +0700] "GET /CPT/admin/ThongTinCaNhan.jsp HTTP/1.1" 200 8612
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:48:25 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:48:25 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:21:48:25 +0700] "GET /CPT/admin/all/style.css HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:22 +0700] "POST /CPT/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:22 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:23 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:30 +0700] "POST /CPT/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:30 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:36 +0700] "POST /CPT/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:18:36 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 23093
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:26:28 +0700] "POST /CPT/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:26:28 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:46:33 +0700] "GET /CPT/ChitietSanPham.jsp?id=20 HTTP/1.1" 200 12772
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:50:05 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:50:09 +0700] "GET /CPT/ChitietSanPham.jsp?id=20 HTTP/1.1" 200 12772
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:52:58 +0700] "GET /CPT/trangGioiThieu.jsp HTTP/1.1" 200 14822
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:52:58 +0700] "GET /CPT/img/laptop3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:54:05 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:54:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:28 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:29 +0700] "GET /CPT/register.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:30 +0700] "GET /CPT/quenPass.jsp HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:41 +0700] "POST /CPT/reset_password HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:41 +0700] "GET /CPT/quenPass.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:55:51 +0700] "POST /CPT/reset_password HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:56:12 +0700] "POST /CPT/validateOTP HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:56:21 +0700] "POST /CPT/validateOTP HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:56:39 +0700] "GET /CPT/login.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:56:41 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:56:52 +0700] "GET /CPT/newPass.jsp HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:27 +0700] "GET /CPT/All_new_SP.jsp HTTP/1.1" 200 17063
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:35 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:38 +0700] "GET /CPT/All_SP.jsp HTTP/1.1" 200 21693
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:44 +0700] "GET /CPT/index.jsp HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:46 +0700] "GET /CPT/trangGioiThieu.jsp HTTP/1.1" 200 14822
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:48 +0700] "GET /CPT/trangTinTuc.jsp HTTP/1.1" 200 22067
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:48 +0700] "GET /CPT/img/win2.jpg HTTP/1.1" 200 425919
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:48 +0700] "GET /CPT/img/hot.gif HTTP/1.1" 200 74404
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:48 +0700] "GET /CPT/img/banner.png HTTP/1.1" 200 139240
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/anh3.jpg HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/anh2.jpg HTTP/1.1" 200 18764
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/anh1.jpg HTTP/1.1" 200 14419
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/qc4.jpg HTTP/1.1" 200 72975
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/anh4.jpg HTTP/1.1" 200 20144
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/a8.png HTTP/1.1" 200 5448
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/a6.jpg HTTP/1.1" 200 17488
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/qc3.png HTTP/1.1" 200 13026
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/r2.png HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [01/Jun/2024:22:57:49 +0700] "GET /CPT/img/a7.jpg HTTP/1.1" 200 10865
